expression,reading,meaning,tags,guid
形態,けいたい,"form, shape, figure",JLPT_1 JLPT JLPT_3,e/5N$:Z!T-
血管,けっかん,blood vessel,JLPT_1 JLPT JLPT_3,QbJ9AEIh9>
決行,けっこう,"doing (with resolve), carrying out (e.g., a plan)",JLPT_1 JLPT JLPT_3,F-+3sLP~)5
件,けん,"matter, case, item",JLPT_1 JLPT JLPT_3,kQ?0ViPK+4
減少,げんしょう,"decrease, reduction, decline",JLPT_1 JLPT JLPT_3,k4_<}lhTb#
公演,こうえん,public performance,JLPT_1 JLPT JLPT_3,H?FP7|9MSw
後悔,こうかい,"regret, repentance",JLPT_1 JLPT JLPT_3,Q1e2dQ@sG$
航海,こうかい,"sail, voyage",JLPT_1 JLPT JLPT_3,dFa`<B!Rly
拘束,こうそく,"restriction, restraint",JLPT_1 JLPT JLPT_3,wAH|5]9<;T
荒廃,こうはい,ruin,JLPT_1 JLPT JLPT_3,Pi<&-yXN08
降伏,こうふく,"capitulation, surrender, submission",JLPT_1 JLPT JLPT_3,nz>D*v/PPD
興奮,こうふん,"excitement, stimulation",JLPT_1 JLPT JLPT_3,uG+;eVvuCD
語句,ごく,"words, phrases",JLPT_1 JLPT JLPT_3,IeE<Oj.e6u
個々,ここ,"individual, one by one",JLPT_1 JLPT JLPT_3,p2d:ics3}r
故人,こじん,the deceased,JLPT_1 JLPT JLPT_3,i${0Y&niQE
小銭,こぜに,"coins, small change",JLPT_1 JLPT JLPT_3,"e/(},oiNGD"
ことによると,ことによると,(depending on the circumstances),JLPT_1 JLPT JLPT_3,B{&~P5e&VY
コンテスト,コンテスト,contest,JLPT_1 JLPT JLPT_3,sp5g%^>}gq
採集,さいしゅう,"collecting, gathering",JLPT_1 JLPT JLPT_3,Np[aMg9Zl4
作,さく,"a work, a harvest",JLPT_1 JLPT JLPT_3,e0vQj1EM3V
策,さく,"plan, policy",JLPT_1 JLPT JLPT_3,m7/9u%VJ!K
設備,せつび,"equipment, device, facilities",JLPT JLPT_2 JLPT_3,LIo%jKRqQs
絶滅,ぜつめつ,"destruction, extinction",JLPT JLPT_2 JLPT_3,io[YAo{Uu@
節約,せつやく,"economizing, saving",JLPT JLPT_2 JLPT_3,"HN*O,b6I.s"
攻める,せめる,"to attack, to assault",JLPT JLPT_2 JLPT_3,tc4C[W7HwN
責める,せめる,"to condemn, to blame, to criticize",JLPT JLPT_2 JLPT_3,h&^&{;rWzw
善,ぜん,"good, virtue",JLPT JLPT_2 JLPT_3,I+Wsd9&>8`
全,ぜん,"all, whole, entire",JLPT JLPT_2 JLPT_3,"AlSQZeMOe,"
全員,ぜんいん,all members,JLPT JLPT_2 JLPT_3,sZoXHnMU/8
専攻,せんこう,"major subject, special study",JLPT JLPT_2 JLPT_3,ya8a{Dc>vj
全国,ぜんこく,"the entire nation, country-wide, nation-wide",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,^t`okG[_.
洗剤,せんざい,detergent,JLPT JLPT_2 JLPT_3,L<+Y;nNWE2
先日,せんじつ,"the other day, a few days ago",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,u}70pX97Ud
前者,ぜんしゃ,the former,JLPT JLPT_2 JLPT_3,PvTkSo0mR<
選手,せんしゅ,player selected for a team (usually athletic),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,v.;e@CEJx|
全身,ぜんしん,"the whole body, full-length (portrait)",JLPT JLPT_2 JLPT_3,pwxE{6M)x(
前進,ぜんしん,"advance, drive, progress",JLPT JLPT_2 JLPT_3,Bf[eOsL^b6
センター,センター,center,JLPT JLPT_2 JLPT_3,CxiSJ@d^~:
全体,ぜんたい,"whole, entirety, whatever (is the matter)",JLPT JLPT_2 JLPT_3,"P>z,++>r(]"
選択,せんたく,"selection, choice",JLPT JLPT_2 JLPT_3,k:.P/+fPZu
宣伝,せんでん,"advertisement, publicity",JLPT JLPT_2 JLPT_3,JC$lTUtjG[
象,ぞう,elephant,JLPT Genki_Ln.13 JLPT_3 JLPT_2 Genki,q&<afrju^O
騒音,そうおん,noise,JLPT JLPT_2 JLPT_3,Nq>ZUuvl@9
増加,ぞうか,"increase, addition",JLPT JLPT_2 JLPT_3,LCq]gC<#T)
操作,そうさ,"operation, management, processing",JLPT JLPT_2 JLPT_3,"mJ]7X>,V`y"
想像,そうぞう,"imagination, guess",JLPT JLPT_2 JLPT_3,k^1Z0>wFtS
相続,そうぞく,"succession, inheritance",JLPT JLPT_2 JLPT_3,gLl5L9nWQL
装置,そうち,"equipment, installation, apparatus",JLPT JLPT_2 JLPT_3,QP$y~p+;R`
相当,そうとう,"considerably, fairly; worth ~",JLPT JLPT_2 JLPT_3,X|0~/xXGn
速度,そくど,"speed, velocity, rate",JLPT JLPT_2 JLPT_3,H;GE;N$A%]
底,そこ,"bottom, sole",JLPT JLPT_2 JLPT_3,E!a4:Hc]KR
そこで,そこで,"so (conj.), accordingly",JLPT JLPT_2 JLPT_3,Q`8<U+}b2H
組織,そしき,organization; structure; tissue,JLPT JLPT_2 JLPT_3,zpGgl@h_Va
そして,そして,and then,JLPT Genki_Ln.11 JLPT_3 JLPT_2 Genki,HVz1zz!rU*
注ぐ,そそぐ,to pour (into),JLPT JLPT_2 JLPT_3,O|qtLZv)ag
育つ,そだつ,"to be brought up, to grow (up)",JLPT JLPT_2 JLPT_3,DVd%wrkTnE
そっくり,そっくり,the splitting image of; entirely,JLPT JLPT_2 JLPT_3,"il,5{T<Ci/"
そっと,そっと,"softly, gently",JLPT JLPT_2 JLPT_3,dNlkAuY%B;
袖,そで,sleeve,JLPT JLPT_2 JLPT_3,qAnG-iHgN/
備える,そなえる,"to prepare, to furnish, to store",JLPT JLPT_2 JLPT_3,nSf<nF|Wp=
具える,そなえる,to be furnished with,JLPT JLPT_2 JLPT_3,HK##7~;{8M
そのうえ,そのうえ,"in addition, furthermore",JLPT JLPT_2 JLPT_3,g4O`W+&@o;
そのうち,そのうち,"before long, eventually, sooner or later",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,PuLL>@8)rT
そのまま,そのまま,"without change, as it is (e.g., now)",JLPT JLPT_2 JLPT_3,Ct<iM4(-qV
蕎麦,そば,soba (buckwheat noodles),JLPT JLPT_2 JLPT_3,Bbh7N0fI`c
ソファー,ソファー,"sofa, couch",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.12,z;bE4U6LP3
粗末,そまつ,"humble, miserable, crude",JLPT JLPT_2 JLPT_3,j6Do>kVF89
それぞれ,それぞれ,"each, every, respectively",JLPT JLPT_2 JLPT_3,IU/9u{#l]`
それでも,それでも,"but (still), and yet, nevertheless",JLPT JLPT_2 JLPT_3,A4Ma6XxBkC
それと,それと,and,JLPT JLPT_2 JLPT_3,qT%b.lO-Up
それとも,それとも,"or, or else",JLPT JLPT_2 JLPT_3,FIBH9OiuNP
揃う,そろう,"to become complete, to be equal",JLPT JLPT_2 JLPT_3,eH+q6_0;;H
揃える,そろえる,"to put things in order, to arrange",JLPT JLPT_2 JLPT_3,"Hx^8k,vcgU"
損,そん,"loss, disadvantage",JLPT JLPT_2 JLPT_3,r5pYyEz*uG
損害,そんがい,"damage, loss",JLPT JLPT_2 JLPT_3,KNy-!0Msk~
尊敬,そんけい,"respect, reverence, honor",JLPT JLPT_2 JLPT_3,nh_pmhy#.q
存在,そんざい,"existence, being",JLPT JLPT_2 JLPT_3,Ah?vt+0Deq
尊重,そんちょう,"respect, esteem, regard",JLPT JLPT_2 JLPT_3,h?{mP2f_-B
田,た,rice field,JLPT JLPT_2 JLPT_3,"w7MwtWnKt,"
他,た,other (esp. places and things),JLPT JLPT_2 JLPT_3,P;is[6zAC!
対,たい,"pair, couple, set",JLPT JLPT_2 JLPT_3,"Moj,JFB9!<"
大,だい,"big, great",JLPT JLPT_2 JLPT_3,LwTE(&7K+A
題,だい,"title, subject, theme",JLPT JLPT_2 JLPT_3,F^XD~^:A@0
体育,たいいく,"physical education, gymnastics, athletics",JLPT JLPT_2 JLPT_3,CYaFjR7lk/
体温,たいおん,temperature (body),JLPT JLPT_2 JLPT_3,JV$<Rwhu{y
大会,たいかい,"convention, (big) tournament, mass meeting",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,qPbid=y~O&
大気,たいき,atmosphere,JLPT JLPT_2 JLPT_3,"Hhm(,tKo;q"
代金,だいきん,"price, cost",JLPT JLPT_2 JLPT_3,d6Cwm*}ZjB
退屈,たいくつ,"tedium, boring",JLPT JLPT_2 JLPT_3,F(8G#=fSzj
滞在,たいざい,"stay, sojourn",JLPT JLPT_2 JLPT_3,bk>r|^ok!J
大使,たいし,ambassador,JLPT JLPT_2 JLPT_3,zN!*9mGhu4
大した,たいした,"significant, great, considerable",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,oM^M6iE>L5
体重,たいじゅう,(body) weight,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,t`1!Oqj**T
対象,たいしょう,"target; object (of worship, study, etc.); subject (i.e., of taxation)",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,"p^#)B+1eX,"
対照,たいしょう,"contrast, antithesis, comparison",JLPT JLPT_2 JLPT_3,n>fKKV=_7/
大臣,だいじん,cabinet minister,JLPT JLPT_2 JLPT_3,Ob3O=(AH>h
対する,たいする,"to face, to confront, to oppose",JLPT JLPT_2 JLPT_3,ybI4-s}gla
大戦,たいせん,"great war, great battle",JLPT JLPT_2 JLPT_3,f`t4(w295-
態度,たいど,"attitude, manner",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,CRe5#!Zg2
大統領,だいとうりょう,president,JLPT JLPT_2 JLPT_3,mQ?{N?L_2<
大半,たいはん,"most of, majority, mostly",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,L@eG[f#yFA
代表,だいひょう,"representative, delegation",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,[cqqR!>%Z
大部分,だいぶぶん,"most part, majority",JLPT JLPT_2 JLPT_3,xCOUr6=j:7
タイプライター,タイプライター,typewriter,JLPT JLPT_2 JLPT_3,wfroZ+;inq
逮捕,たいほ,"arrest, apprehension, capture",JLPT JLPT_2 JLPT_3,"mP*P.Zr^,5"
題名,だいめい,title,JLPT JLPT_2 JLPT_3,x5M%%Ua514
ダイヤ,ダイヤ,(railway) schedule; diamond,JLPT JLPT_2 JLPT_3,u65Ybwgo>d
太陽,たいよう,sun,JLPT JLPT_2 JLPT_3,Ods5M>&o#p
平ら,たいら,"flatness, level, smooth",JLPT JLPT_2 JLPT_3,CCHa|.m;y*
代理,だいり,"representation, proxy, deputy",JLPT JLPT_2 JLPT_3,`LJ^*Zc6.
大陸,たいりく,continent,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,"j9v8D@q,-`"
倒す,たおす,"to throw down, to beat",JLPT JLPT_2 JLPT_3,O)2K@u<S75
タオル,タオル,(hand) towel,JLPT Genki_Ln.18 JLPT_3 JLPT_2 Genki,wEC@Qp%tX#
だが,だが,"but, however",JLPT JLPT_2 JLPT_3,yVQqFsidK:
互い,たがい,"mutual, each other",JLPT JLPT_2 JLPT_3,"A/w*RxK,aS"
高める,たかめる,"to raise, to lift, to boost",JLPT JLPT_2 JLPT_3,k95gRhn5$b
宝,たから,treasure,JLPT JLPT_2 JLPT_3,"Ms,V*:XqhK"
宅,たく,"house, home",JLPT JLPT_2 JLPT_3,NDCW+QVEo*
炊く,たく,"to boil, to cook",JLPT JLPT_2 JLPT_3,nMc=w-?iw5
焚く,たく,"to burn, to kindle, to build a fire",JLPT JLPT_2 JLPT_3,Dg<UbH>Qcm
抱く,だく,"to embrace, to hug",JLPT JLPT_2 JLPT_3,KKtZ{u;?<t
だけど,だけど,however,JLPT JLPT_2 JLPT_3,B]!P5f2EJ8
たしか,たしか,"certain, sure, if I remember correctly",JLPT JLPT_2 JLPT_3,Ai@Savd_m@
確かめる,たしかめる,"to ascertain, to make sure",JLPT JLPT_2 JLPT_3,zRU$$MH{a;
多少,たしょう,a little (same as 少し (すこし)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.13,Lr;d$E?/U|
助かる,たすかる,to be saved; (something) helps (v.i.),JLPT Intermediate_Japanese Genki_Ln.18 JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4 Genki,xVSsgH{D[a
助ける,たすける,"to help (v.t.), to save, to rescue",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Genki Genki_Ln.22 Intermediate_Japanese_Ln.3,l/GW}?_@LC
ただ,ただ,free of charge; just (~); only (~),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9 Genki_Ln.23 Genki,FnqECB)M9z
只,ただ,"free of charge, mere, only",JLPT JLPT_2 JLPT_3,t3-MU5x.ml
唯,ただ,"mere, sole, plain",JLPT JLPT_2 JLPT_3,F%qA~M)1]b
戦い,たたかい,"battle, fight",JLPT JLPT_2 JLPT_3,q9<05fFYz
戦う,たたかう,"to fight, to compete, to battle",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,Bby>Z<O$Cf
叩く,たたく,"to strike, to beat",JLPT JLPT_2 JLPT_3,qn)FIw6-x/
直ちに,ただちに,"at once, immediately",JLPT JLPT_2 JLPT_3,K6vcg?:lAW
畳む,たたむ,to fold (clothes),JLPT JLPT_2 JLPT_3,rkct5mr//(
立ち上がる,たちあがる,to stand up,JLPT JLPT_2 JLPT_3,HlZc:`g<19
立場,たちば,"standpoint, position, situation",JLPT JLPT_2 JLPT_3,m+%3thjJjg
建つ,たつ,"to stand; to be built (v.i.), to erect, to be erected",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,n<i_4fThiw
経つ,たつ,(time) passes,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,"r,N`cWnW^X"
達する,たっする,"to reach, to get to",JLPT JLPT_2 JLPT_3,wK1Ias[)#c
唯,たった,"only, just",JLPT JLPT_2 JLPT_3,uOH:v;n@##
だって,だって,"but, because, even",JLPT JLPT_2 JLPT_3,EX/P_yzE.A
たっぷり,たっぷり,"full, in plenty, ample",JLPT JLPT_2 JLPT_3,m+yv?z5be0
たとえ,たとえ,"even if, no matter, though",JLPT JLPT_2 JLPT_3,hFX[Llvj7<
谷,たに,valley,JLPT JLPT_2 JLPT_3,hcMe_RS(U*
他人,たにん,"unrelated person, stranger",JLPT JLPT_2 JLPT_3,hCa*aP>NLK
種,たね,seed; material; cause,JLPT JLPT_2 JLPT_3,q$QKyzwhUV
束,たば,"bunch, bundle",JLPT JLPT_2 JLPT_3,HpG5d&jd4^
足袋,たび,Japanese socks (with split toe),JLPT JLPT_2 JLPT_3,bhqtwW<taj
度,たび,counter for occurrences,JLPT JLPT_2 JLPT_3,c~q$.~Py-+
旅,たび,"travel, trip, journey",JLPT JLPT_2 JLPT_3,AP3&ju<[do
たびたび,たびたび,"often, repeatedly, frequently",JLPT JLPT_2 JLPT_3,N_zxk]NfeP
玉,たま,"ball, sphere, coin",JLPT JLPT_2 JLPT_3,kel|c(YKw~
球,たま,"globe, sphere, ball",JLPT JLPT_2 JLPT_3,"IL5}@,L(HU"
弾,たま,"bullet, shot",JLPT JLPT_2 JLPT_3,t`CC/|.iog
偶,たま,"even number, couple, friend",JLPT JLPT_2 JLPT_3,H%.6|y[Mxx
騙す,だます,"to trick, to cheat, to deceive",JLPT JLPT_2 JLPT_3,Lk)a>8:jDg
偶々,たまたま,"unexpectedly, accidentally, by chance",JLPT JLPT_2 JLPT_3,JUx|gK)1.9
たまらない,たまらない,"intolerable, unbearable, unendurable",JLPT JLPT_2 JLPT_3,l`8q_oGHnv
溜まる,たまる,"to collect, to gather, to accumulate",JLPT JLPT_2 JLPT_3,vB$#wF*|#8
黙る,だまる,to be silent,JLPT JLPT_2 JLPT_3,s)emL*qV&)
試し,ためし,"trial, test",JLPT JLPT_2 JLPT_3,qBNYe=mSa8
試す,ためす,"to attempt, to test",JLPT JLPT_2 JLPT_3,OHz{.@pYIY
溜める,ためる,"to accumulate, to collect",JLPT JLPT_2 JLPT_3,I-!#mDL3^x
便り,たより,"news, correspondence, letter",JLPT JLPT_2 JLPT_3,gbz0bmQQdz
頼る,たよる,"to rely on, to have recourse to, to depend on",JLPT JLPT_2 JLPT_3,Cpd=G;du6L
段,だん,"step, stair, grade",JLPT JLPT_2 JLPT_3,CK0>fzUr{x
単位,たんい,"credit (for a course in school); unit, denomination",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.3,ddo&;VY0jx
単語,たんご,word; vocabulary,JLPT JLPT_3 JLPT_2 Genki_Ln.9 Genki,v$Mi}v}l@p
男子,だんし,young man,JLPT JLPT_2 JLPT_3,o|;<c@[|f3
単純,たんじゅん,simplicity,JLPT JLPT_2 JLPT_3,c0+aDZX4Q5
誕生,たんじょう,birth,JLPT JLPT_2 JLPT_3,dP`<<G(e41
ダンス,ダンス,dance,JLPT JLPT_2 JLPT_3,euR|T?GwM~
団体,だんたい,"organization, association",JLPT JLPT_2 JLPT_3,N[4TY72XQk
担当,たんとう,(in) charge,JLPT JLPT_2 JLPT_3,eVQE*ebssb
単なる,たんなる,"mere, simple, sheer",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.15,bCE(TsI6rY
単に,たんに,"simply, merely",JLPT JLPT_2 JLPT_3,ndj9zxLbCH
地,ち,earth,JLPT JLPT_2 JLPT_3,o?b;2k}iDx
地位,ちい,"(social) position, status",JLPT JLPT_2 JLPT_3,PA:U(:c/cc
地域,ちいき,"area, region",JLPT JLPT_2 JLPT_3,kp_^FvzmU=
チーズ,チーズ,cheese,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.9,v`l$a/$V*R
チーム,チーム,team,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.7,zOpx4Q5dSu
知恵,ちえ,"wisdom, wit, intelligence",JLPT JLPT_2 JLPT_3,jp9hTe)yc?
地下,ちか,"basement, underground",JLPT JLPT_2 JLPT_3,I;*P_Q7^ak
違い,ちがい,"difference, discrepancy",Genki_Ln.17 JLPT JLPT_3 JLPT_2 Genki,E&4b+:J$~A
違いない,ちがいない,"(phrase) sure, no mistaking it, for certain",JLPT JLPT_2 JLPT_3,hLl(I;+k]7
近頃,ちかごろ,"lately, recently, nowadays",JLPT JLPT_2 JLPT_3,f(L:7>]T]*
地球,ちきゅう,the earth,JLPT JLPT_2 JLPT_3,qL[iG:?A.4
地区,ちく,"district, section",JLPT JLPT_2 JLPT_3,f^*Mzp$yP!
遅刻,ちこく,"lateness, late coming",JLPT JLPT_2 JLPT_3,BI&hsIsXx!
知事,ちじ,prefectural governor,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.4,ISq?4C~q1c
知識,ちしき,"knowledge, information",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,JB`8NU-%cx
父親,ちちおや,father,JLPT JLPT_2 JLPT_3,x^b@}}_x/I
知能,ちのう,"intelligence, brains",JLPT JLPT_2 JLPT_3,s0*$SOLx]G
地平線,ちへいせん,horizon,JLPT JLPT_2 JLPT_3,K*ilXC|Xu$
地方,ちほう,"area, locality, region",JLPT JLPT_2 JLPT_3,"z)]^*l}=r,"
茶,ちゃ,tea,JLPT JLPT_2 JLPT_3,"fMCQ,=~B@s"
チャンス,チャンス,"chance, opportunity",JLPT JLPT_2 JLPT_3,m8a~R)2L&s
ちゃんと,ちゃんと,"perfectly, properly, exactly",JLPT JLPT_2 JLPT_3,fb]dH3uhx1
中,ちゅう,"inside, middle, among",JLPT JLPT_2 JLPT_3,giNr]3xbMq
注,ちゅう,"annotation, explanatory note",JLPT JLPT_2 JLPT_3,ewit4l?.v2
中央,ちゅうおう,"central, center, middle",JLPT JLPT_2 JLPT_3,hbJS=^3J3d
中学,ちゅうがく,"middle school, junior high school",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.1,BDc+1/~Gst
中古,ちゅうこ,"used, second-hand",JLPT JLPT_2 JLPT_3,oGNXy5VYfH
中止,ちゅうし,"suspension, stoppage, discontinuance",JLPT JLPT_2 JLPT_3,blGv@A}r>*
駐車,ちゅうしゃ,"parking (e.g., car)",JLPT JLPT_2 JLPT_3,r:>>eJ5z0v
昼食,ちゅうしょく,lunch (same as 昼ご飯 (ひるごはん)),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.6,Ce&bm$.+x}
中心,ちゅうしん,"center, core",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.10,qN$B1x]6v4
注目,ちゅうもく,"notice, attention, observation",JLPT JLPT_2 JLPT_3,D//womH([Q
注文,ちゅうもん,"order, request",JLPT JLPT_2 JLPT_3,"s6G1Y@{fM,"
長期,ちょうき,long time period,JLPT JLPT_2 JLPT_3,c8O%1yU]YR
調査,ちょうさ,survey; investigation,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,d$M#lyGTF?
調子,ちょうし,"condition, state, tune, tone",JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,"d]P8,Fg)ha"
頂上,ちょうじょう,"top, summit, peak",JLPT JLPT_2 JLPT_3,dQdf#E1ni7
ちょうだい,ちょうだい,-- colloquial form of ください; typically used by children or women --,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,o/CK30c)[2
貯金,ちょきん,(bank) savings,JLPT JLPT_2 JLPT_3,Qk=_]>V~E6
直接,ちょくせつ,"direct, immediate, firsthand",JLPT JLPT_2 JLPT_3,s&G:wJLBgj
著者,ちょしゃ,"author, writer",JLPT JLPT_2 JLPT_3,f3<v-734W$
散らす,ちらす,"to scatter, to disperse, to distribute",JLPT JLPT_2 JLPT_3,vw$z+tJyr%
散る,ちる,"to fall, to scatter (e.g., blossoms)",JLPT JLPT_2 JLPT_3,J2:m]+werC
遂に,ついに,"finally, at last",JLPT JLPT_2 JLPT_3,nxB*ZCg|Xk
通過,つうか,"passage through, passing",JLPT JLPT_2 JLPT_3,ph$_=yR?BI
通貨,つうか,currency,JLPT JLPT_2 JLPT_3,/j4TmH~2}
通学,つうがく,commuting to school,JLPT JLPT_2 JLPT_3,J:l]_|3w@r
通勤,つうきん,commuting to work,JLPT JLPT_2 JLPT_3,e/9Ql]v_wl
通行,つうこう,"passage, passing",JLPT JLPT_2 JLPT_3,c^6[uEL+8F
通じる,つうじる,"to run to, to lead to, to communicate",JLPT JLPT_2 JLPT_3,t0;rVhq2PA
通信,つうしん,"correspondence, communications",JLPT JLPT_2 JLPT_3,jbQzL}efHR
通訳,つうやく,interpretation; interpreter,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.8,A:!.K&=/gb
捕まる,つかまる,to be arrested; to be caught,JLPT JLPT_3 JLPT_2 Genki Genki_Ln.21,zje2ssH%h&
掴む,つかむ,"to seize, to catch, to grasp",JLPT JLPT_2 JLPT_3,AX[XflD{[A
疲れ,つかれ,"tiredness, fatigue",JLPT JLPT_2 JLPT_3,il1GiN=]{4
付き合い,つきあい,socialization; friendship; association,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.5,y]4O/.LN};
付合う,つきあう,"to associate with, to keep company with, to get on with",JLPT JLPT_2 JLPT_3,comK`lsMXR
次々,つぎつぎ,"in succession, one by one",JLPT JLPT_2 JLPT_3,tMy_Cz-rgH
付く,つく,"to adjoin, to be attached, to adhere",JLPT JLPT_2 JLPT_3,CCTf>ERIuq
就く,つく,"to settle in (place), to take (seat position), to study (under teacher)",JLPT JLPT_2 JLPT_3,f$o&/[vj_J
突く,つく,"to thrust, to strike; to poke",JLPT JLPT_2 JLPT_3,deUV5De}4o
次ぐ,つぐ,"to rank next to, to come after",JLPT JLPT_2 JLPT_3,lPJSJa%iEy
注ぐ,つぐ,to pour (into),JLPT JLPT_2 JLPT_3,H]>=HALt|h
付ける,つける,"to attach, to join, to add",JLPT JLPT_2 JLPT_3,COK~n$@s;+
着ける,つける,"to put on, to wear; to draw up",JLPT JLPT_2 JLPT_3,xK/@QFUs`+
伝わる,つたわる,"to be handed down, to be transmitted",JLPT JLPT_2 JLPT_3,I(SdOHy)n4
土,つち,"earth, soil",JLPT JLPT_2 JLPT_3,b0C;E+y*OO
続き,つづき,"sequel, continuation",JLPT JLPT_2 JLPT_3,DOx[F]Tq]~
包み,つつみ,"bundle, package",JLPT JLPT_2 JLPT_3,"A$,U3V5z/a"
勤め,つとめ,"work, employment",JLPT JLPT_2 JLPT_3,jyI}</P9|V
務め,つとめ,duty,JLPT JLPT_2 JLPT_3,HBnD=Z&jL.
繋がる,つながる,"to be connected to, to be related to",JLPT JLPT_2 JLPT_3,o>5Zj80/>t
繋ぐ,つなぐ,"to tie, to fasten, to connect",JLPT JLPT_2 JLPT_3,dvYDG|g:)z
繋げる,つなげる,to connect,JLPT JLPT_2 JLPT_3,CaP($Be11=
常に,つねに,always (same as いつも) (written expression),JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.11,"bxwo]l,au."
翼,つばさ,wings,JLPT JLPT_2 JLPT_3,h7J%]@@_.i
つまり,つまり,namely; in other words; in short,JLPT Intermediate_Japanese JLPT_3 JLPT_2 Intermediate_Japanese_Ln.2,Qct:$c#r&I
罪,つみ,"crime, fault, indiscretion",JLPT JLPT_2 JLPT_3,MgWjvX`Yu]
積む,つむ,"to pile up, to stack",JLPT JLPT_2 JLPT_3,"j$?]*}X8^,"
詰める,つめる,"to pack, to shorten, to work out (details)",JLPT JLPT_2 JLPT_3,r`t;z%W._9
積もる,つもる,to pile up,JLPT JLPT_2 JLPT_3,B|7C=u@tnY
梅雨,つゆ,rainy season,JLPT JLPT_2 JLPT_3,Kq1aO&o3e~
辛い,つらい,"painful, heart-breaking",JLPT JLPT_2 JLPT_3,x#3!zMZ{Ua
釣,つり,fishing,JLPT JLPT_2 JLPT_3,hp*Ne3T*|9
連れ,つれ,"companion, company",JLPT JLPT_2 JLPT_3,"M#vEpHbV,1"
出,で,"outflow, coming (going) out, graduate (of)",JLPT JLPT_2 JLPT_3,w{EtNFmA(5
出会い,であい,"meeting, rendezvous, encounter",JLPT JLPT_2 JLPT_3,d]*3#}qvAo
出合い,であい,an encounter,JLPT JLPT_2 JLPT_3,NNhd{.G%>}
出会う,であう,"to meet by chance, to come across, to happen to encounter",JLPT JLPT_2 JLPT_3,OTct<~-|UE
提案,ていあん,"proposal, proposition, suggestion",JLPT JLPT_2 JLPT_3,"iGm7,)MoHt"
定期,ていき,fixed term,JLPT JLPT_2 JLPT_3,A!sHO/~:s^
抵抗,ていこう,"resistance, opposition",JLPT JLPT_2 JLPT_3,N(w.Tb~N=E
提出,ていしゅつ,"presentation, submission, filing",JLPT JLPT_2 JLPT_3,_gNbOk8-6
停電,ていでん,failure of electricity,JLPT JLPT_2 JLPT_3,H}DrQpl/{h
程度,ていど,"degree, amount, level",JLPT JLPT_2 JLPT_3,F`R&X?&TVu
停留所,ていりゅうじょ,bus or tram stop,JLPT JLPT_2 JLPT_3,Awx`muH^bu
